variable,family,sign,adstock_decay,coef_lower,coef_upper,role,scale
Price per Volume,Price,negative,,,,auto,1.0
Total Category Price Per Volume,Category Price,positive,,,,auto,1.0
Category P Price Per Volume,Category Price,positive,,,,auto,1.0
ACV Weighted Distribution,Distribution,positive,,,,force,1.0
Avg Weekly Items per Store Selling,Distribution,positive,,,,auto,1.0
Total Points of Distribution,Distribution,positive,,,,auto,1.0
Weighted Weeks Price Reductions Only,Trade,positive,,,,auto,1.0
Weighted Weeks Feature Only,Trade,positive,,,,auto,1.0
Weighted Weeks Display Only,Trade,positive,,,,auto,1.0
Weighted Weeks Special Pack Only,Trade,positive,,,,auto,1.0
Weighted Weeks Feature and Display,Trade,positive,,,,auto,1.0
Brand Birchwood_Social_Feed_Spend,Media,positive,0.5,,,auto,1.0
Brand Birchwood_Search_Spend,Media,positive,0.2,,,auto,1.0
Brand Birchwood_Short_Video_Spend,Media,positive,0.7,,,auto,1.0
Brand Birchwood_Retail_Media_A_Spend,Media,positive,0.5,,,auto,1.0
Brand Birchwood_Retail_Media_B_Spend,Media,positive,0.5,,,auto,1.0
Brand Birchwood_Marketplace_Spend,Media,positive,0.5,,,auto,1.0
Brand Birchwood_Delivery_App_Spend,Media,positive,0.5,,,auto,1.0
Brand Birchwood_Grocery_Network_A_Spend,Media,positive,0.5,,,auto,1.0
Brand Birchwood_Grocery_Network_B_Spend,Media,positive,0.5,,,auto,1.0
Brand Birchwood_Grocery_Network_C_Spend,Media,positive,0.5,,,auto,1.0
Brand Birchwood_Onsite_Display_Spend,Media,positive,0.5,,,auto,1.0
Brand Birchwood_Connected_TV_Spend,Media,positive,0.7,,,auto,1.0
Brand Birchwood_Audio_Streaming_Spend,Media,positive,0.5,,,auto,1.0
Brand Birchwood_Programmatic_Display_Spend,Media,positive,0.5,,,auto,1.0
Brand Birchwood_Programmatic_CTV_Spend,Media,positive,0.7,,,auto,1.0
Brand Birchwood_Social_Stories_Spend,Media,positive,0.5,,,auto,1.0
Brand Birchwood_Video_Preroll_Spend,Media,positive,0.7,,,auto,1.0
Brand Birchwood_Sponsored_Search_Spend,Media,positive,0.2,,,auto,1.0
Brand Birchwood_Coupon_Network_Spend,Media,positive,0.5,,,auto,1.0
Brand Birchwood_Loyalty_Offers_Spend,Media,positive,0.5,,,auto,1.0
Brand Birchwood_Influencer_Spend,Media,positive,0.5,,,auto,1.0
Brand Birchwood_Out_Of_Home_Spend,Media,positive,0.5,,,auto,1.0
Seasonality_Index,Seasonality,positive,,,,auto,1.0
Trend,Trend,unconstrained,,,,exclude,1.0
Unemployment_Rate,Macro,unconstrained,,,,auto,1.0
Median_CPI,Macro,unconstrained,,,,auto,1.0
CFNAI,Macro,unconstrained,,,,auto,1.0
Gas_Price,Macro,unconstrained,,,,auto,1.0
UMCSENT,Macro,unconstrained,,,,auto,1.0
T5YIE,Macro,unconstrained,,,,auto,1.0
PSAVERT,Macro,unconstrained,,,,auto,1.0
PCEC96,Macro,unconstrained,,,,auto,1.0
SNAP_Participants,Macro,unconstrained,,,,auto,1000.0
Fedfunds,Macro,unconstrained,,,,auto,1.0
Unempclaims,Macro,unconstrained,,,,auto,1.0
Retail_Sales,Macro,unconstrained,,,,auto,1.0
_C_Rival Alder__Avg Weekly Items per Store Selling,Competitive,negative,,,,auto,1.0
_C_Rival Alder__ACV Weighted Distribution,Competitive,negative,,,,auto,1.0
_C_Rival Alder__Weighted Weeks Price Reductions Only,Competitive,negative,,,,auto,1.0
_C_Rival Alder__Weighted Weeks Feature Only,Competitive,negative,,,,auto,1.0
_C_Rival Alder__Weighted Weeks Display Only,Competitive,negative,,,,auto,1.0
_C_Rival Alder__Weighted Weeks Special Pack Only,Competitive,negative,,,,auto,1.0
_C_Rival Alder__Weighted Weeks Feature and Display,Competitive,negative,,,,auto,1.0
_C_Rival Bramble__Avg Weekly Items per Store Selling,Competitive,negative,,,,auto,1.0
_C_Rival Bramble__ACV Weighted Distribution,Competitive,negative,,,,auto,1.0
_C_Rival Bramble__Weighted Weeks Price Reductions Only,Competitive,negative,,,,auto,1.0
_C_Rival Bramble__Weighted Weeks Feature Only,Competitive,negative,,,,auto,1.0
_C_Rival Bramble__Weighted Weeks Display Only,Competitive,negative,,,,auto,1.0
_C_Rival Bramble__Weighted Weeks Special Pack Only,Competitive,negative,,,,auto,1.0
_C_Rival Bramble__Weighted Weeks Feature and Display,Competitive,negative,,,,auto,1.0
_C_Rival Clover__Avg Weekly Items per Store Selling,Competitive,negative,,,,auto,1.0
_C_Rival Clover__ACV Weighted Distribution,Competitive,negative,,,,auto,1.0
_C_Rival Clover__Weighted Weeks Price Reductions Only,Competitive,negative,,,,auto,1.0
_C_Rival Clover__Weighted Weeks Feature Only,Competitive,negative,,,,auto,1.0
_C_Rival Clover__Weighted Weeks Display Only,Competitive,negative,,,,auto,1.0
_C_Rival Clover__Weighted Weeks Special Pack Only,Competitive,negative,,,,auto,1.0
_C_Rival Clover__Weighted Weeks Feature and Display,Competitive,negative,,,,auto,1.0
_C_Rival Dogwood__Avg Weekly Items per Store Selling,Competitive,negative,,,,auto,1.0
_C_Rival Dogwood__ACV Weighted Distribution,Competitive,negative,,,,auto,1.0
_C_Rival Dogwood__Weighted Weeks Price Reductions Only,Competitive,negative,,,,auto,1.0
_C_Rival Dogwood__Weighted Weeks Feature Only,Competitive,negative,,,,auto,1.0
_C_Rival Dogwood__Weighted Weeks Display Only,Competitive,negative,,,,auto,1.0
_C_Rival Dogwood__Weighted Weeks Special Pack Only,Competitive,negative,,,,auto,1.0
_C_Rival Dogwood__Weighted Weeks Feature and Display,Competitive,negative,,,,auto,1.0
