,Year 1 (Jan 2024-Dec 2024),Year 2 (Jan 2025-Dec 2025),YoY_change,YoY_pct
Intercept,2888934.4241107204,2888934.4241107204,0.0,0.0
ACV Weighted Distribution,6527685.539497204,6218498.050459095,-309187.48903810885,-4.736556121879671
Weighted Weeks Display Only,877853.2621307403,461647.07019275875,-416206.1919379816,-47.41181811271725
Seasonality_Index,3196605.343576208,3196605.343576208,0.0,0.0
_C_Competitor3__Weighted Weeks Display Only,-3605078.119776112,-3533205.3259856706,71872.79379044147,1.993654267744551
T5YIE,-3765480.033535945,-4031183.933404756,-265703.89986881055,-7.056308823905868
_C_Competitor6__Weighted Weeks Display Only,-2265006.4494348,-2224611.922625439,40394.5268093613,1.7834177390285655
_C_Competitor6__Weighted Weeks Feature and Display,-246368.42547529447,-234050.5011620407,12317.924313253781,4.9997982856325915
Brand 1_Amazon_Spend,318768.7960532582,225752.39112179106,-93016.40493146711,-29.179896552963243
Weighted Weeks Feature and Display,61032.28115576401,59265.67897041459,-1766.6021853494167,-2.894537369233782
Brand 1_Google_Ads_Spend,50162.50698791557,30759.258998358597,-19403.247989556974,-38.68077804450907
