,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,22795791.5061065,22795791.5061065,0.0,0.0
ACV Weighted Distribution,366102.2422332884,355088.9078940067,-11013.334339281719,-3.0082673823843393
Seasonality_Index,3199335.0770214368,3199335.0770214368,0.0,0.0
Price per Volume,-7650855.666527635,-7645934.997087599,4920.66944003664,0.06431528255806061
_C_COMPETITOR6__ACV Weighted Distribution,-5871209.121754858,-6052080.592136168,-180871.4703813102,-3.0806511338715383
T5YIE,-1677466.996261009,-1815117.8218614375,-137650.8256004285,-8.20587385070737
_C_COMPETITOR10__Weighted Weeks Price Reductions Only,-1393723.9609967053,-1470630.14886031,-76906.18786360463,-5.518035853283751
Weighted Weeks Feature and Display,134216.4949541615,137385.5052137813,3169.0102596197976,2.3611183265530062
_C_COMPETITOR1__ACV Weighted Distribution,-4480858.4700443195,-4551895.044380226,-71036.57433590665,-1.5853340338866817
Weighted Weeks Display Only,456509.8841790154,448975.5289606612,-7534.355218354205,-1.6504254298686092
