,coefficient,family,sign,forced,t_stat_OLS,avg_weekly_contribution
const,-654453.1853451194,(intercept),(intercept),,,-654453.1853451196
ACV Weighted Distribution,1151.9380724483722,Distribution,positive,yes,2.2683282823176407,74516.35634391819
Price per Volume,-31441.632357200175,Price,negative,,-21.486925618262042,-393992.8332279244
PCEC96,103.95475780586594,Macro,unconstrained,,4.508840121159848,1680895.4567769705
Seasonality_Index,33043.479587876805,Seasonality,positive,,2.586422705207603,33043.479587876805
Trend,-739.2499822412107,Trend,unconstrained,,-3.4787555947429483,-67641.37337507078
_C_COMPETITOR10__ACV Weighted Distribution,-9410.957642220335,Competitive,negative,,-6.968865553898846,-148813.59679953085
_C_COMPETITOR1__ACV Weighted Distribution,-5317.955916639959,Competitive,negative,,-9.340086008736415,-745831.8549500884
Brand8_Meta_Spend,0.6189177240521531,Media,positive,,5.114631233441759,10179.479760859935
Avg Weekly Items per Store Selling,81123.01866709217,Distribution,positive,,9.17560798503878,297094.48317711387
Fedfunds,29548.52993761102,Macro,unconstrained,,5.709582535443852,143443.906823093
Brand8_Instacart_CTV_Spend,1.672788069345291,Media,positive,,4.034142113182743,14760.893707236368
_C_COMPETITOR10__Weighted Weeks Feature Only,-137588.72395406346,Competitive,negative,,-1.7234332832991703,-4016.707776488468
Weighted Weeks Display Only,94041.1063554818,Trade,positive,,1.7442891319940246,9438.969507546584
