brand,channel,n_weeks_train,n_weeks_holdout,n_selected,n_forced,R2,adj_R2,MAPE_in_pct,MAPE_holdout_pct,durbin_watson,n_sign_conflicts,top_positive_driver,top_negative_driver
Brand 6,Channel 5,104,13,4,1,0.9526,0.9507,1.7,1.4,1.887,0,Avg Weekly Items per Store Selling,_C_COMPETITOR4__Weighted Weeks Feature and Display
Brand 6,Channel 7,104,13,6,1,0.961,0.9586,2.71,1.93,1.411,0,ACV Weighted Distribution,Weighted Weeks Display Only
Brand 10,Channel 3,104,13,6,1,0.9413,0.9376,3.2,2.11,1.437,0,ACV Weighted Distribution,Price per Volume
Brand 9,Channel 4,104,13,5,1,0.9469,0.9442,2.88,2.21,1.543,0,Seasonality_Index,_C_COMPETITOR3__Weighted Weeks Display Only
Brand 10,Channel 2,104,13,9,1,0.9388,0.933,4.06,3.23,1.188,0,ACV Weighted Distribution,SNAP_Participants
Brand 10,Channel 6,104,13,8,1,0.9116,0.9041,2.96,3.6,1.853,0,ACV Weighted Distribution,Price per Volume
Brand 10,Channel 1,104,13,9,1,0.9454,0.9401,2.34,3.98,1.674,0,ACV Weighted Distribution,Price per Volume
Brand 7,Channel 4,104,13,8,1,0.9451,0.9405,2.13,4.05,1.77,0,Seasonality_Index,_C_COMPETITOR4__Avg Weekly Items per Store Selling
Brand 5,Channel 9,104,13,10,1,0.8127,0.7926,3.91,4.09,0.723,0,Seasonality_Index,Unemployment_Rate
Brand 5,Channel 4,104,13,9,1,0.8958,0.8858,5.45,4.47,1.066,0,ACV Weighted Distribution,_C_COMPETITOR4__Weighted Weeks Display Only
Brand 4,Channel 3,104,13,6,1,0.891,0.8843,3.2,4.8,1.391,0,SNAP_Participants,Price per Volume
Brand 3,Channel 1,104,13,8,1,0.9251,0.9188,2.79,4.82,1.866,0,Seasonality_Index,_C_COMPETITOR7__Avg Weekly Items per Store Selling
Brand 5,Channel 1,104,13,5,1,0.791,0.7803,6.07,4.88,1.674,0,Seasonality_Index,Price per Volume
Brand 3,Channel 2,104,13,11,1,0.8854,0.8717,3.98,4.89,1.665,0,Seasonality_Index,Price per Volume
Brand 3,Channel 3,104,13,6,1,0.9339,0.9298,4.1,4.9,1.985,0,Seasonality_Index,Price per Volume
Brand 5,Channel 3,104,13,8,1,0.7903,0.7726,7.02,4.92,1.744,0,Seasonality_Index,Price per Volume
Brand 10,Channel 5,104,13,8,1,0.8337,0.8197,3.12,4.93,1.788,0,Seasonality_Index,Price per Volume
Brand 10,Channel 4,104,13,11,1,0.9544,0.949,3.03,4.96,1.375,0,ACV Weighted Distribution,SNAP_Participants
Brand 10,Channel 7,104,13,6,1,0.991,0.9904,3.16,5.35,1.319,0,Avg Weekly Items per Store Selling,Price per Volume
Brand 7,Channel 1,104,13,9,1,0.8976,0.8878,3.61,5.52,2.175,0,Seasonality_Index,Price per Volume
Brand 3,Channel 7,104,13,6,1,0.9452,0.9418,3.63,5.52,1.515,0,ACV Weighted Distribution,Price per Volume
Brand 7,Channel 3,104,13,6,1,0.9106,0.9051,4.22,5.64,1.925,0,Seasonality_Index,Price per Volume
Brand 3,Channel 6,104,13,9,1,0.8774,0.8656,5.11,5.79,1.504,0,Seasonality_Index,Price per Volume
Brand 8,Channel 4,104,13,4,1,0.7045,0.6926,12.83,5.91,0.544,0,ACV Weighted Distribution,_C_COMPETITOR2__Weighted Weeks Price Reductions Only
Brand 2,Channel 1,104,13,8,1,0.9071,0.8992,3.6,6.09,1.462,0,ACV Weighted Distribution,Price per Volume
Brand 1,Channel 5,104,13,4,1,0.9782,0.9773,4.71,6.17,1.161,0,Avg Weekly Items per Store Selling,Price per Volume
Brand 7,Channel 5,104,13,7,1,0.8651,0.8553,4.34,6.57,2.077,0,ACV Weighted Distribution,_C_COMPETITOR5__ACV Weighted Distribution
Brand 4,Channel 2,104,13,9,1,0.8803,0.8688,3.5,6.74,1.601,0,SNAP_Participants,Gas_Price
Brand 4,Channel 5,104,13,4,1,0.8057,0.7978,5.94,6.81,1.827,0,ACV Weighted Distribution,BRAND 3_Absco_Spend
Brand 7,Channel 2,104,13,6,1,0.8302,0.8197,5.44,7.89,1.865,0,Seasonality_Index,Price per Volume
Brand 4,Channel 7,104,13,5,1,0.8534,0.8459,4.71,8.09,0.708,0,Avg Weekly Items per Store Selling,_C_COMPETITOR1__Weighted Weeks Price Reductions Only
Brand 3,Channel 5,104,13,4,1,0.802,0.794,6.71,8.22,1.826,0,ACV Weighted Distribution,Price per Volume
Brand 3,Channel 9,104,13,9,1,0.6239,0.5879,7.53,8.33,0.553,0,Total Category Price Per Volume,_C_COMPETITOR7__Weighted Weeks Display Only
Brand 2,Channel 6,104,13,4,1,0.8649,0.8595,5.26,8.75,1.058,0,ACV Weighted Distribution,_C_Competitor6__Avg Weekly Items per Store Selling
Brand 2,Channel 3,104,13,7,1,0.8425,0.831,5.88,9.02,1.669,0,ACV Weighted Distribution,Price per Volume
Brand 3,Channel 4,104,13,5,1,0.9273,0.9236,2.98,9.17,1.749,0,ACV Weighted Distribution,_C_COMPETITOR3__Avg Weekly Items per Store Selling
Brand 9,Channel 5,104,13,8,1,0.8701,0.8591,4.17,9.88,1.608,0,Avg Weekly Items per Store Selling,_C_COMPETITOR1__ACV Weighted Distribution
Brand 8,Channel 5,104,13,3,1,0.8751,0.8713,2.98,9.94,0.768,0,Avg Weekly Items per Store Selling,Price per Volume
Brand 9,Channel 7,104,13,6,1,0.982,0.9809,3.09,10.48,1.081,0,ACV Weighted Distribution,Price per Volume
Brand 2,Channel 9,104,13,6,1,0.8922,0.8856,8.42,10.95,1.33,0,ACV Weighted Distribution,Price per Volume
Brand 5,Channel 2,104,13,6,1,0.8502,0.8409,7.86,11.32,1.831,0,Seasonality_Index,Price per Volume
Brand 8,Channel 2,104,13,9,1,0.8723,0.86,6.45,11.7,1.734,0,Seasonality_Index,Price per Volume
Brand 5,Channel 7,104,13,6,1,0.9641,0.9618,7.21,14.57,1.756,0,Avg Weekly Items per Store Selling,PSAVERT
Brand 8,Channel 9,104,13,9,1,0.6937,0.6644,10.49,15.11,0.574,0,ACV Weighted Distribution,_C_COMPETITOR4__Avg Weekly Items per Store Selling
Brand 4,Channel 6,104,13,3,1,0.908,0.9052,14.94,15.54,1.25,0,ACV Weighted Distribution,_C_COMPETITOR3__Weighted Weeks Display Only
Brand 10,Channel 9,104,13,10,1,0.9429,0.9368,6.81,15.96,1.301,0,UMCSENT,Price per Volume
Brand 4,Channel 9,104,13,8,1,0.8677,0.8565,2.82,16.78,1.01,0,Seasonality_Index,T5YIE
Brand 6,Channel 1,104,13,9,1,0.8567,0.843,2.35,17.26,1.479,0,Seasonality_Index,SNAP_Participants
Brand 2,Channel 2,104,13,12,1,0.9462,0.9392,10.05,17.64,1.399,0,T5YIE,Gas_Price
