brand,channel,window_start,window_end,n_weeks_reported,n_weeks_selling,n_weeks_holdout,n_selected,n_forced,R2,adj_R2,MAPE_in_pct,MAPE_holdout_pct,durbin_watson,n_sign_conflicts,top_positive_driver,top_negative_driver
Brand 1,Channel 5,2024-01-07,2025-12-28,104,104,13,5,1,0.972,0.9706,4.16,5.72,1.46,0,Avg Weekly Items per Store Selling,Price per Volume
Brand 2,Channel 1,2024-01-07,2025-12-28,104,104,13,10,1,0.9122,0.9028,3.9,6.4,1.444,0,ACV Weighted Distribution,Price per Volume
Brand 1,Channel 2,2024-01-07,2025-12-28,104,104,13,8,1,0.8918,0.8827,8.08,7.22,0.883,0,Seasonality_Index,Price per Volume
Brand 2,Channel 6,2024-01-07,2025-12-28,104,104,13,7,1,0.8615,0.8514,5.19,11.58,0.908,0,Seasonality_Index,_C_Competitor6__Avg Weekly Items per Store Selling
Brand 2,Channel 2,2024-01-07,2025-12-28,104,104,13,8,1,0.9381,0.9329,9.37,12.84,1.051,0,T5YIE,Gas_Price
Brand 2,Channel 9,2024-01-07,2025-12-28,104,104,13,6,1,0.8503,0.8411,9.08,13.22,1.236,0,ACV Weighted Distribution,Price per Volume
Brand 2,Channel 3,2024-01-07,2025-12-28,104,104,13,5,1,0.8319,0.8233,6.86,13.66,1.686,0,ACV Weighted Distribution,Price per Volume
Brand 1,Channel 4,2024-01-07,2025-12-28,104,104,13,9,1,0.9285,0.9216,8.02,14.09,1.232,0,ACV Weighted Distribution,_C_Competitor3__ACV Weighted Distribution
Brand 1,Channel 9,2024-01-07,2025-12-28,104,104,13,7,1,0.7122,0.6912,15.11,19.85,0.746,0,ACV Weighted Distribution,Unemployment_Rate
Brand 1,Channel 1,2024-01-07,2025-12-28,104,104,13,10,1,0.8829,0.8703,9.87,23.03,0.965,0,ACV Weighted Distribution,T5YIE
Brand 2,Channel 4,2024-01-07,2025-12-28,104,104,13,7,1,0.9099,0.9033,8.51,30.3,0.935,0,ACV Weighted Distribution,Price per Volume
Brand 2,Channel 7,2024-01-07,2025-12-28,104,104,13,4,1,0.7702,0.761,29.29,38.06,2.294,0,SNAP_Participants,Weighted Weeks Price Reductions Only
Brand 1,Channel 3,2024-01-07,2025-12-28,104,104,13,5,1,0.8864,0.8806,13.39,48.03,1.376,0,ACV Weighted Distribution,Price per Volume
Brand 1,Channel 7,2024-01-07,2025-12-28,104,104,13,3,1,0.8322,0.8272,19.45,356.59,0.393,0,ACV Weighted Distribution,PSAVERT
