brand,channel,target,n_selected,n_forced,R2,MAPE_in_pct,MAPE_holdout_pct,n_sign_conflicts
Brand 6,Channel 5,Volume Sales,4,1,0.9519,1.67,1.4,0
Brand 6,Channel 7,Volume Sales,6,1,0.9598,2.49,1.93,0
Brand 10,Channel 3,Volume Sales,6,1,0.9455,3.01,2.11,0
Brand 9,Channel 4,Volume Sales,5,1,0.9582,2.74,2.21,0
Brand 10,Channel 2,Volume Sales,9,1,0.9548,3.3,3.23,0
Brand 10,Channel 6,Volume Sales,8,1,0.9162,2.46,3.6,0
Brand 10,Channel 1,Volume Sales,9,1,0.9448,2.26,3.98,0
Brand 7,Channel 4,Volume Sales,8,1,0.9522,2.28,4.05,0
Brand 5,Channel 9,Volume Sales,10,1,0.8524,4.11,4.09,0
Brand 5,Channel 4,Volume Sales,9,1,0.9161,4.62,4.47,0
Brand 4,Channel 3,Volume Sales,6,1,0.8738,3.42,4.8,1
Brand 3,Channel 1,Volume Sales,8,1,0.9283,2.73,4.82,0
Brand 5,Channel 1,Volume Sales,5,1,0.865,4.89,4.88,0
Brand 3,Channel 2,Volume Sales,11,1,0.8987,3.65,4.89,0
Brand 3,Channel 3,Volume Sales,6,1,0.9308,4.06,4.9,0
Brand 5,Channel 3,Volume Sales,8,1,0.8624,6.05,4.92,0
Brand 10,Channel 5,Volume Sales,8,1,0.8075,3.23,4.93,0
Brand 10,Channel 4,Volume Sales,11,1,0.9592,2.85,4.96,0
Brand 10,Channel 7,Volume Sales,6,1,0.9909,3.33,5.35,0
Brand 7,Channel 1,Volume Sales,9,1,0.906,3.75,5.52,0
Brand 3,Channel 7,Volume Sales,6,1,0.9527,3.76,5.52,0
Brand 7,Channel 3,Volume Sales,6,1,0.9127,4.4,5.64,0
Brand 3,Channel 6,Volume Sales,9,1,0.8845,4.66,5.79,0
Brand 8,Channel 4,Volume Sales,4,1,0.7487,10.55,5.91,0
Brand 2,Channel 1,Volume Sales,8,1,0.9092,3.95,6.09,0
Brand 1,Channel 5,Volume Sales,4,1,0.9704,4.45,6.17,0
Brand 7,Channel 5,Volume Sales,7,1,0.8838,4.54,6.57,0
Brand 4,Channel 2,Volume Sales,9,1,0.8947,3.48,6.74,0
Brand 4,Channel 5,Volume Sales,4,1,0.8048,6.28,6.81,0
Brand 7,Channel 2,Volume Sales,6,1,0.8227,5.07,7.89,0
Brand 4,Channel 7,Volume Sales,5,1,0.8948,4.46,8.09,0
Brand 3,Channel 5,Volume Sales,4,1,0.8055,6.6,8.22,0
Brand 3,Channel 9,Volume Sales,9,1,0.6179,7.19,8.33,0
Brand 2,Channel 6,Volume Sales,4,1,0.8599,5.25,8.75,0
Brand 2,Channel 3,Volume Sales,7,1,0.8467,6.16,9.02,0
Brand 3,Channel 4,Volume Sales,5,1,0.9107,3.59,9.17,0
Brand 9,Channel 5,Volume Sales,8,1,0.8184,5.13,9.88,0
Brand 8,Channel 5,Volume Sales,3,1,0.836,3.46,9.94,0
Brand 9,Channel 7,Volume Sales,6,1,0.9799,3.47,10.48,0
Brand 2,Channel 9,Volume Sales,6,1,0.8545,8.79,10.95,0
Brand 6,Channel 9,Volume Sales,6,1,0.6497,4.0,11.03,1
Brand 5,Channel 2,Volume Sales,6,1,0.8188,7.87,11.32,0
Brand 8,Channel 2,Volume Sales,9,1,0.9022,5.22,11.7,0
Brand 5,Channel 7,Volume Sales,6,1,0.9366,8.02,14.57,0
Brand 8,Channel 9,Volume Sales,9,1,0.748,9.29,15.11,0
Brand 4,Channel 6,Volume Sales,3,1,0.9209,12.29,15.54,0
Brand 10,Channel 9,Volume Sales,10,1,0.9601,7.13,15.96,0
Brand 4,Channel 9,Volume Sales,8,1,0.7973,4.12,16.78,0
Brand 6,Channel 1,Volume Sales,9,1,0.8015,3.25,17.26,0
Brand 2,Channel 2,Volume Sales,12,1,0.9405,9.21,17.64,0
Brand 2,Channel 8,Volume Sales,3,1,0.3286,9.94,18.16,0
Brand 6,Channel 3,Volume Sales,5,1,0.8207,13.27,18.62,0
Brand 1,Channel 2,Volume Sales,8,1,0.8807,8.75,20.33,0
Brand 5,Channel 5,Volume Sales,4,1,0.8104,8.73,20.48,0
Brand 9,Channel 3,Volume Sales,8,1,0.7523,6.8,20.59,0
Brand 9,Channel 9,Volume Sales,11,1,0.9161,12.49,20.89,0
Brand 1,Channel 8,Volume Sales,2,1,0.9989,11.24,21.72,0
Brand 8,Channel 6,Volume Sales,6,1,0.9017,14.44,23.24,0
Brand 4,Channel 1,Volume Sales,7,1,0.6459,7.18,23.39,0
Brand 1,Channel 9,Volume Sales,6,1,0.7081,15.06,23.64,0
Brand 2,Channel 4,Volume Sales,4,1,0.8871,9.26,24.54,0
Brand 9,Channel 6,Volume Sales,4,1,0.829,22.49,24.67,0
Brand 7,Channel 7,Volume Sales,6,1,0.9316,7.76,27.19,0
Brand 9,Channel 2,Volume Sales,8,1,0.8945,5.96,30.5,0
Brand 1,Channel 1,Volume Sales,9,1,0.8833,9.6,31.83,0
Brand 9,Channel 1,Volume Sales,6,1,0.791,8.39,32.67,0
Brand 2,Channel 7,Volume Sales,3,1,0.7489,30.02,36.73,0
Brand 1,Channel 4,Volume Sales,7,1,0.7075,14.15,39.43,0
Brand 8,Channel 3,Volume Sales,13,1,0.9156,3.77,39.8,0
Brand 1,Channel 3,Volume Sales,7,1,0.8918,13.34,44.71,0
Brand 8,Channel 1,Volume Sales,13,1,0.9055,2.84,51.15,0
Brand 4,Channel 4,Volume Sales,9,1,0.7692,10.02,55.38,0
Brand 7,Channel 9,Volume Sales,7,1,0.4769,9.41,58.78,2
Brand 6,Channel 4,Volume Sales,10,1,0.9368,40.07,132.96,0
Brand 6,Channel 6,Volume Sales,5,1,0.6659,73.44,143.52,0
Brand 8,Channel 7,Volume Sales,5,1,0.8115,8.29,144.63,0
Brand 1,Channel 7,Volume Sales,5,1,0.8925,17.28,304.25,0
Brand 6,Channel 2,Volume Sales,7,1,0.9415,58.79,377.77,0
Brand 1,Channel 6,Volume Sales,3,1,0.9413,254.87,,0
Brand 2,Channel 5,Volume Sales,6,1,0.9998,11.56,,1
