brand,channel,target,n_selected,n_forced,R2,MAPE_in_pct,MAPE_holdout_pct,n_sign_conflicts
ChocoBar POS,Channel 5,Volume Sales,4,1,0.9782,4.71,6.17,0
GummyMix POS,Channel 5,Volume Sales,4,1,0.9782,4.71,6.17,0
GummyMix POS,Channel 2,Volume Sales,8,1,0.9068,9.68,20.33,0
ChocoBar POS,Channel 2,Volume Sales,8,1,0.9068,9.68,20.33,0
ChocoBar POS,Channel 9,Volume Sales,6,1,0.6492,14.71,23.64,0
GummyMix POS,Channel 9,Volume Sales,6,1,0.6492,14.71,23.64,0
GummyMix POS,Channel 1,Volume Sales,9,1,0.8282,9.96,31.83,0
ChocoBar POS,Channel 1,Volume Sales,9,1,0.8282,9.96,31.83,0
ChocoBar POS,Channel 4,Volume Sales,7,1,0.8124,16.35,39.43,0
GummyMix POS,Channel 4,Volume Sales,7,1,0.8124,16.35,39.43,0
GummyMix POS,Channel 3,Volume Sales,7,1,0.8828,11.64,44.71,0
ChocoBar POS,Channel 3,Volume Sales,7,1,0.8828,11.64,44.71,0
ChocoBar POS,Channel 7,Volume Sales,5,1,0.9638,3.94,304.25,0
GummyMix POS,Channel 7,Volume Sales,5,1,0.9638,3.94,304.25,0
ChocoBar POS,Channel 6,Volume Sales,3,1,0.9413,230.1,,0
ChocoBar POS,Channel 8,Volume Sales,3,1,0.7616,96.1,,0
GummyMix POS,Channel 6,Volume Sales,3,1,0.9413,230.1,,0
GummyMix POS,Channel 8,Volume Sales,3,1,0.7616,96.1,,0
