brand,channel,target,weeks,selling_weeks,n_selected,n_forced,R2,MAPE_in_pct,MAPE_holdout_pct,n_sign_conflicts
Brand 6,Channel 5,Volume Sales,104,104,4,1,0.9506,1.69,1.65,0
Brand 6,Channel 7,Volume Sales,104,104,4,1,0.959,2.56,2.45,0
Brand 10,Channel 1,Volume Sales,104,104,9,1,0.9475,2.22,2.96,0
Brand 4,Channel 3,Volume Sales,104,104,8,1,0.8672,3.56,3.7,2
Brand 5,Channel 9,Volume Sales,104,104,10,1,0.8921,3.53,4.39,0
Brand 10,Channel 6,Volume Sales,104,104,4,1,0.9076,2.72,4.6,0
Brand 4,Channel 7,Volume Sales,104,104,5,1,0.9192,3.67,4.62,0
Brand 10,Channel 5,Volume Sales,104,104,8,1,0.8163,3.19,4.71,0
Brand 9,Channel 4,Volume Sales,104,104,5,1,0.9666,2.32,4.81,0
Brand 3,Channel 9,Volume Sales,104,104,6,1,0.6278,6.82,5.24,0
Brand 1,Channel 5,Volume Sales,104,104,5,1,0.972,4.16,5.72,0
Brand 10,Channel 7,Volume Sales,104,104,6,1,0.9902,3.45,5.78,0
Brand 10,Channel 4,Volume Sales,104,104,10,1,0.9504,3.04,5.8,0
Brand 3,Channel 7,Volume Sales,104,104,7,1,0.9527,3.76,6.04,0
Brand 5,Channel 1,Volume Sales,104,104,6,1,0.866,4.93,6.05,0
Brand 3,Channel 2,Volume Sales,104,104,8,1,0.8961,3.69,6.07,0
Brand 7,Channel 5,Volume Sales,104,104,5,1,0.8618,4.98,6.22,0
Brand 10,Channel 2,Volume Sales,104,104,6,1,0.9456,3.88,6.37,0
Brand 2,Channel 1,Volume Sales,104,104,10,1,0.9122,3.9,6.4,0
Brand 7,Channel 3,Volume Sales,104,104,6,1,0.9127,4.4,6.41,0
Brand 5,Channel 3,Volume Sales,104,104,9,1,0.8371,6.6,6.69,0
Brand 3,Channel 4,Volume Sales,104,104,3,1,0.8932,4.14,6.96,0
Brand 3,Channel 6,Volume Sales,104,104,8,1,0.8842,4.62,7.02,0
Brand 4,Channel 5,Volume Sales,104,104,4,1,0.8048,6.28,7.04,0
Brand 8,Channel 4,Volume Sales,104,104,5,1,0.7845,9.25,7.18,0
Brand 1,Channel 2,Volume Sales,104,104,8,1,0.8918,8.08,7.22,0
Brand 3,Channel 3,Volume Sales,104,104,3,1,0.5851,7.8,7.7,0
Brand 3,Channel 5,Volume Sales,104,104,3,1,0.8029,6.61,7.98,0
Brand 8,Channel 2,Volume Sales,104,104,7,1,0.9017,5.26,8.17,0
Brand 7,Channel 1,Volume Sales,104,104,7,1,0.8932,4.1,8.5,0
Brand 4,Channel 9,Volume Sales,104,104,8,1,0.8852,2.95,8.52,0
Brand 3,Channel 1,Volume Sales,104,104,7,1,0.8997,3.48,8.65,0
Brand 7,Channel 4,Volume Sales,104,104,7,1,0.9167,3.08,9.0,1
Brand 9,Channel 7,Volume Sales,104,104,10,1,0.9864,2.88,9.12,0
Brand 4,Channel 2,Volume Sales,104,104,8,1,0.8787,3.79,9.84,0
Brand 4,Channel 6,Volume Sales,104,104,5,1,0.9338,10.96,10.42,0
Brand 6,Channel 9,Volume Sales,104,104,6,1,0.6497,4.0,11.03,1
Brand 5,Channel 2,Volume Sales,104,104,5,1,0.8164,7.91,11.51,0
Brand 10,Channel 3,Volume Sales,104,104,5,1,0.7428,7.49,11.57,0
Brand 2,Channel 6,Volume Sales,104,104,7,1,0.8615,5.19,11.58,0
Brand 5,Channel 4,Volume Sales,104,104,7,1,0.7333,7.45,12.15,0
Brand 8,Channel 1,Volume Sales,104,104,13,1,0.8915,2.96,12.23,0
Brand 2,Channel 2,Volume Sales,104,104,8,1,0.9381,9.37,12.84,0
Brand 8,Channel 5,Volume Sales,104,104,4,1,0.8362,3.46,13.15,0
Brand 2,Channel 9,Volume Sales,104,104,6,1,0.8503,9.08,13.22,0
Brand 2,Channel 3,Volume Sales,104,104,5,1,0.8319,6.86,13.66,0
Brand 1,Channel 4,Volume Sales,104,104,9,1,0.9285,8.02,14.09,0
Brand 10,Channel 9,Volume Sales,104,104,7,1,0.9105,11.87,14.53,0
Brand 9,Channel 2,Volume Sales,104,104,7,1,0.8693,6.29,14.88,0
Brand 7,Channel 9,Volume Sales,104,104,3,1,0.6795,6.98,15.75,1
Brand 9,Channel 5,Volume Sales,104,104,6,1,0.7884,5.63,15.8,0
Brand 7,Channel 2,Volume Sales,104,104,5,1,0.7846,5.5,16.03,0
Brand 6,Channel 1,Volume Sales,104,104,8,1,0.7234,3.79,16.63,0
Brand 5,Channel 7,Volume Sales,104,104,6,1,0.9267,9.26,17.19,0
Brand 5,Channel 5,Volume Sales,104,104,3,1,0.8292,8.2,17.33,0
Brand 9,Channel 9,Volume Sales,104,104,9,1,0.8516,16.68,18.76,0
Brand 1,Channel 1,Volume Sales,104,104,10,1,0.8892,9.69,19.64,0
Brand 1,Channel 9,Volume Sales,104,104,7,1,0.7122,15.11,19.85,0
Brand 8,Channel 3,Volume Sales,104,104,10,1,0.9005,4.25,21.13,0
Brand 4,Channel 1,Volume Sales,104,104,7,1,0.6447,7.13,21.22,0
Brand 9,Channel 1,Volume Sales,104,104,6,1,0.8238,7.57,21.66,0
Brand 9,Channel 6,Volume Sales,67,67,3,1,0.9271,15.8,22.77,0
Brand 7,Channel 7,Volume Sales,104,104,5,1,0.9314,7.91,25.27,0
Brand 6,Channel 3,Volume Sales,104,104,6,1,0.7941,15.68,28.36,0
Brand 4,Channel 4,Volume Sales,104,104,6,1,0.6899,12.17,29.06,0
Brand 2,Channel 4,Volume Sales,104,104,7,1,0.9099,8.51,30.3,0
Brand 9,Channel 3,Volume Sales,104,104,7,1,0.6994,7.8,30.32,0
Brand 8,Channel 6,Volume Sales,104,104,2,1,0.8767,16.56,35.75,0
Brand 2,Channel 7,Volume Sales,104,104,4,1,0.7702,29.29,38.06,0
Brand 1,Channel 3,Volume Sales,104,104,5,1,0.8864,13.39,48.03,0
Brand 8,Channel 9,Volume Sales,104,104,12,1,0.8155,7.95,54.62,1
Brand 8,Channel 7,Volume Sales,104,104,14,1,0.9085,5.59,75.64,0
Brand 6,Channel 4,Volume Sales,104,104,5,1,0.9138,43.57,134.36,0
