slice,media,changed,cv_b,cv_a,ho_b,ho_a,secs
Brand 1|Channel 1,2,1,12.370955517449252,11.567410004442545,19.638025998406537,25.507390361942512,6.5
Brand 1|Channel 2,1,1,19.595155535926395,18.2221766466605,7.224514744503903,7.129460881842233,2.9
Brand 3|Channel 1,0,0,,,8.651057456626894,8.651057456626894,0.0
Brand 3|Channel 2,1,1,7.878021469177839,4.913780575592729,6.0717720299399796,6.647886454093054,3.0
Brand 3|Channel 3,0,0,,,7.702057559819407,7.702057559819407,0.0
Brand 10|Channel 1,1,0,6.2242686313318245,6.2242686313318245,2.9602622191460735,2.9602622191460735,1.4
Brand 10|Channel 2,1,0,5.616886966052223,5.616886966052223,6.3726688494267005,6.3726688494267005,1.4
Brand 10|Channel 3,1,0,10.389637580553199,10.389637580553199,11.57285383101312,11.57285383101312,1.1
Brand 5|Channel 1,0,0,,,6.049158881399109,6.049158881399109,0.0
Brand 5|Channel 2,1,0,8.75655732755333,8.75655732755333,11.506369023415184,11.506369023415184,1.4
Brand 5|Channel 3,1,0,12.532461199959123,12.532461199959123,6.6920578068869325,6.6920578068869325,1.6
Brand 8|Channel 1,2,0,4.143791787156329,4.143791787156329,25.83005721329598,25.83005721329598,4.3
Brand 8|Channel 2,1,0,8.634358105078858,8.634358105078858,8.168306627211972,8.168306627211972,1.5
Brand 8|Channel 3,2,0,4.799918826951804,4.799918826951804,21.130736149054357,21.130736149054357,3.3
Brand 8|Channel 4,0,0,,,7.184636680050005,7.184636680050005,0.0
Brand 4|Channel 1,0,0,,,21.220575609588398,21.220575609588398,0.0
Brand 4|Channel 2,3,2,7.055642480316784,3.903792732530443,9.840290381049273,6.897709267026385,8.8
Brand 4|Channel 3,0,0,,,3.7528916322847556,3.7528916322847556,0.0
Brand 4|Channel 4,1,0,14.233123343509902,14.233123343509902,29.058549320615086,29.058549320615086,1.2
Brand 6|Channel 1,0,0,,,16.625174432670452,16.625174432670452,0.0
Brand 6|Channel 2,0,0,,,371.43547591397754,371.43547591397754,0.0
Brand 6|Channel 5,0,0,,,1.6451351510231522,1.6451351510231522,0.0
Brand 2|Channel 1,0,0,,,6.397128643308942,6.397128643308942,0.0
Brand 2|Channel 2,3,0,19.000724438743376,19.000724438743376,12.835897803434108,12.835897803434108,4.3
Brand 2|Channel 3,0,0,,,13.655457282684614,13.655457282684614,0.0
