date,period
2023-01-08,FY2023 Q1
2023-01-15,FY2023 Q1
2023-01-22,FY2023 Q1
2023-01-29,FY2023 Q1
2023-02-05,FY2023 Q1
2023-02-12,FY2023 Q1
2023-02-19,FY2023 Q1
2023-02-26,FY2023 Q1
2023-03-05,FY2023 Q1
2023-03-12,FY2023 Q1
2023-03-19,FY2023 Q1
2023-03-26,FY2023 Q1
2023-04-02,FY2023 Q2
2023-04-09,FY2023 Q2
2023-04-16,FY2023 Q2
2023-04-23,FY2023 Q2
2023-04-30,FY2023 Q2
2023-05-07,FY2023 Q2
2023-05-14,FY2023 Q2
2023-05-21,FY2023 Q2
2023-05-28,FY2023 Q2
2023-06-04,FY2023 Q2
2023-06-11,FY2023 Q2
2023-06-18,FY2023 Q2
2023-06-25,FY2023 Q2
2023-07-02,FY2023 Q3
2023-07-09,FY2023 Q3
2023-07-16,FY2023 Q3
2023-07-23,FY2023 Q3
2023-07-30,FY2023 Q3
2023-08-06,FY2023 Q3
2023-08-13,FY2023 Q3
2023-08-20,FY2023 Q3
2023-08-27,FY2023 Q3
2023-09-03,FY2023 Q3
2023-09-10,FY2023 Q3
2023-09-17,FY2023 Q3
2023-09-24,FY2023 Q3
2023-10-01,FY2023 Q4
2023-10-08,FY2023 Q4
2023-10-15,FY2023 Q4
2023-10-22,FY2023 Q4
2023-10-29,FY2023 Q4
2023-11-05,FY2023 Q4
2023-11-05,Holiday 2023
2023-11-12,FY2023 Q4
2023-11-12,Holiday 2023
2023-11-19,FY2023 Q4
2023-11-19,Holiday 2023
2023-11-26,FY2023 Q4
2023-11-26,Holiday 2023
2023-12-03,FY2023 Q4
2023-12-03,Holiday 2023
2023-12-10,FY2023 Q4
2023-12-10,Holiday 2023
2023-12-17,FY2023 Q4
2023-12-17,Holiday 2023
2023-12-24,FY2023 Q4
2023-12-24,Holiday 2023
2023-12-31,FY2023 Q4
2023-12-31,Holiday 2023
2024-01-07,FY2024 Q1
2024-01-14,FY2024 Q1
2024-01-21,FY2024 Q1
2024-01-28,FY2024 Q1
2024-02-04,FY2024 Q1
2024-02-11,FY2024 Q1
2024-02-18,FY2024 Q1
2024-02-25,FY2024 Q1
2024-03-03,FY2024 Q1
2024-03-10,FY2024 Q1
2024-03-17,FY2024 Q1
2024-03-24,FY2024 Q1
2024-03-31,FY2024 Q1
2024-04-07,FY2024 Q2
2024-04-14,FY2024 Q2
2024-04-21,FY2024 Q2
2024-04-28,FY2024 Q2
2024-05-05,FY2024 Q2
2024-05-12,FY2024 Q2
2024-05-19,FY2024 Q2
2024-05-26,FY2024 Q2
2024-06-02,FY2024 Q2
2024-06-09,FY2024 Q2
2024-06-16,FY2024 Q2
2024-06-23,FY2024 Q2
2024-06-30,FY2024 Q2
2024-07-07,FY2024 Q3
2024-07-14,FY2024 Q3
2024-07-21,FY2024 Q3
2024-07-28,FY2024 Q3
2024-08-04,FY2024 Q3
2024-08-11,FY2024 Q3
2024-08-18,FY2024 Q3
2024-08-25,FY2024 Q3
2024-09-01,FY2024 Q3
2024-09-08,FY2024 Q3
2024-09-15,FY2024 Q3
2024-09-22,FY2024 Q3
2024-09-29,FY2024 Q3
2024-10-06,FY2024 Q4
2024-10-13,FY2024 Q4
2024-10-20,FY2024 Q4
2024-10-27,FY2024 Q4
2024-11-03,FY2024 Q4
2024-11-03,Holiday 2024
2024-11-10,FY2024 Q4
2024-11-10,Holiday 2024
2024-11-17,FY2024 Q4
2024-11-17,Holiday 2024
2024-11-24,FY2024 Q4
2024-11-24,Holiday 2024
2024-12-01,FY2024 Q4
2024-12-01,Holiday 2024
2024-12-08,FY2024 Q4
2024-12-08,Holiday 2024
2024-12-15,FY2024 Q4
2024-12-15,Holiday 2024
2024-12-22,FY2024 Q4
2024-12-22,Holiday 2024
2024-12-29,FY2024 Q4
2024-12-29,Holiday 2024
2025-01-05,FY2025 Q1
2025-01-12,FY2025 Q1
2025-01-19,FY2025 Q1
2025-01-26,FY2025 Q1
2025-02-02,FY2025 Q1
2025-02-09,FY2025 Q1
2025-02-16,FY2025 Q1
2025-02-23,FY2025 Q1
2025-03-02,FY2025 Q1
2025-03-09,FY2025 Q1
2025-03-16,FY2025 Q1
2025-03-23,FY2025 Q1
2025-03-30,FY2025 Q1
2025-04-06,FY2025 Q2
2025-04-13,FY2025 Q2
2025-04-20,FY2025 Q2
2025-04-27,FY2025 Q2
2025-05-04,FY2025 Q2
2025-05-11,FY2025 Q2
2025-05-18,FY2025 Q2
2025-05-25,FY2025 Q2
2025-06-01,FY2025 Q2
2025-06-08,FY2025 Q2
2025-06-15,FY2025 Q2
2025-06-22,FY2025 Q2
2025-06-29,FY2025 Q2
