,coefficient,expected_sign,family,forced,t_stat_OLS,VIF,avg_weekly_contribution
const,139051.6964008914,(intercept),(intercept),,,,139051.69640089147
ACV Weighted Distribution,1577.5933355056275,positive,Distribution,yes,4.682681518970715,2.739537281178304,61934.8503630991
Weighted Weeks Display Only,510122.85202608566,positive,Trade,,7.610847851080806,1.499078456025183,22364.554904435998
Seasonality_Index,59250.65223278276,positive,Seasonality,,9.794588146386703,1.9966971369506643,59250.65223278277
_C_Competitor3__Weighted Weeks Display Only,-110814.25506758029,negative,Competitive,,-5.434824459340607,1.4013052371848733,-65192.87132712852
T5YIE,-28765.617822109492,unconstrained,Macro,,-4.171175673636257,1.4144197825726346,-66736.92482849167
_C_Competitor2 __Weighted Weeks Display Only,-60920.92646611427,negative,Competitive,,-3.565820092873899,2.0640514250522566,-20616.484153439946
_C_Competitor6__Weighted Weeks Display Only,-205190.42169053887,negative,Competitive,,-3.8840760490913886,1.763032852173306,-60950.3145109138
Brand 1_Amazon_Spend,1.2768357748022936,positive,Media,,3.738507965382806,1.6399985130098522,8242.489931130116
_C_Competitor6__Weighted Weeks Feature and Display,-174459.0975872177,negative,Competitive,,-3.3356450811210947,1.156050792549446,-6225.623055786507
