,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,7230688.212846354,7230688.212846354,0.0,0.0
ACV Weighted Distribution,3068357.9408001928,3372866.4969621142,304508.5561619215,9.924153636472708
Weighted Weeks Display Only,1380594.5802058554,945319.1298554884,-435275.450350367,-31.52811524766848
Seasonality_Index,3081033.9161047037,3081033.9161047037,0.0,0.0
_C_Competitor3__Weighted Weeks Display Only,-3445166.949911627,-3334891.668109739,110275.28180188779,3.2008690262373642
T5YIE,-3333546.769741892,-3607093.412421242,-273546.64267935,-8.205873850707365
_C_Competitor2 __Weighted Weeks Display Only,-1211185.931013589,-932928.4209441654,278257.5100694236,22.973971455940042
_C_Competitor6__Weighted Weeks Display Only,-3259244.9000686524,-3079587.8090663827,179657.09100226965,5.512230486223523
Brand 1_Amazon_Spend,530627.5048732556,320235.6278277371,-210391.87704551854,-39.64963653660815
_C_Competitor6__Weighted Weeks Feature and Display,-330301.92075950844,-317162.87704228825,13139.043717220193,3.9778889832089956
