brand,channel,weeks,holdout_weeks,volume,unpooled_wmape,unpooled_n_vars,pooled_wmape,hier_wmape,best_level,shrink
Brand 1,Channel 1,104,13,7097519.6595411,40.44501624435716,10,31.62126487281406,20.108920581113935,hierarchical,0.5
Brand 1,Channel 2,104,13,372288.79129004834,7.0258299017836565,8,43.71375408779202,18.20924326387986,unpooled,0.5
Brand 1,Channel 3,104,13,4005192.707798113,28.622947415162287,7,18.27733851624712,29.36547220616258,pooled,0.5
Brand 1,Channel 4,104,13,1197141.1845225971,6.691689922755005,8,94.99399382645032,79.94326298045017,unpooled,0.5
Brand 1,Channel 5,104,13,792063.1671288543,22.47522209479392,6,87.51134652610774,44.24772356641357,unpooled,0.5
Brand 1,Channel 7,104,13,405574.8789915433,76.08342594639326,3,565.8357675561736,399.31584126646675,unpooled,0.5
Brand 1,Channel 9,104,13,224824.78359999286,28.14146749696571,7,421.40320577281597,219.9777305749726,unpooled,0.5
Brand 2,Channel 1,104,13,15688369.876938147,11.207418913812653,7,23.206473398438504,23.206473398438504,unpooled,0.0
Brand 2,Channel 2,104,13,2364166.4961336562,16.76042120970454,9,26.81498349399927,26.81498349399924,unpooled,0.0
Brand 2,Channel 3,104,13,4915685.651533373,14.99202485188606,4,12.549545394796905,12.549545394796901,hierarchical,0.0
Brand 2,Channel 4,104,13,1538312.221304042,11.604925321730896,8,30.174560306779476,30.174560306779423,unpooled,0.0
Brand 2,Channel 6,104,13,5822353.131109842,11.065286840344223,7,12.813098210249635,12.813098210249638,unpooled,0.0
Brand 2,Channel 7,104,13,1070.510712426281,30.965801686803168,4,28218.058149519016,28218.058149519096,unpooled,0.0
Brand 2,Channel 9,104,13,3410769.706928659,12.388826836395797,6,15.297739768961893,15.297739768961907,unpooled,0.0
Brand 3,Channel 1,104,13,257026847.94276392,8.190775469122572,6,11.107600559557904,5.807215846751037,hierarchical,1.0
Brand 3,Channel 2,104,13,27461626.467860013,4.503761451194523,6,13.804413278727276,5.160533723745755,unpooled,1.0
Brand 3,Channel 3,104,13,100753299.31037287,7.311437402542782,3,6.810623417060178,10.474257746962868,pooled,1.0
Brand 3,Channel 4,104,13,84765369.38207492,5.650169241324235,3,2.978336551959325,5.500845760476256,pooled,1.0
Brand 3,Channel 5,104,13,791568.3612828965,8.610276243394036,3,1028.9329125390218,15.242328559099303,unpooled,1.0
Brand 3,Channel 6,104,13,63605311.53803463,8.020339242697997,8,8.054226061389612,11.062016829618337,unpooled,1.0
Brand 3,Channel 7,104,13,119984.23476459505,10.046343147572529,7,7300.583051117759,33.090603651769875,unpooled,1.0
Brand 3,Channel 9,104,13,6991315.116234012,6.290959850460758,5,143.83397935923762,5.252657423853608,hierarchical,1.0
Brand 4,Channel 1,104,13,68130886.01030129,12.7593029918255,5,9.40376926174247,4.827902160576745,hierarchical,1.0
Brand 4,Channel 2,104,13,8012766.006423155,22.890149996412507,7,47.83189951679647,5.5945914697132375,hierarchical,1.0
Brand 4,Channel 3,104,13,34754139.114622414,9.528868661670638,3,3.3226747448683724,4.989768560533433,pooled,1.0
